00:04:30	Potuz:	GM
00:05:18	soispoke:	Gm gm!
00:05:22	Justin Traglia:	Gm
00:05:41	soispoke:	Let’s wait 1 or 2 minutes and then we’ll start
00:05:45	Justin Traglia:	Reacted to "Let’s wait 1 or 2 mi..." with 👍
00:05:46	Pooja Ranjan:	Reacted to "Let’s wait 1 or 2 mi..." with 👍
00:06:53	Aaron:	GM
00:06:56	Aaron:	Reacted to Let’s wait 1 or 2 mi... with "👍"
00:07:02	Katya Riazantseva:	gm
00:07:08	Mercy Boma Naps-Nkari:	Reacted to "GM" with ❤️
00:07:42	Pooja Ranjan:	Agenda: https://github.com/ethereum/pm/issues/1646
00:07:44	soispoke:	https://ethereum-magicians.org/t/epbs-focil-compatibility/24777
00:12:08	Aaron:	What is this?
00:12:38	Jacob Harley:	I love eating the poopoo. I eat the poopoo out of my pants after I diarrhea all over them and I eat the poopoo with my mouth. Ihate niggers and bend over pedophile midgets and molest them anally and forceuflly with maximum rapemaxxing winter arc aura force. Niggers love buyin cod points offa g2g. Its a trend! Hate niggers btw. Did I mention that? Fuck niggers!
00:12:38	Jacob Harley:	I love eating the poopoo. I eat the poopoo out of my pants after I diarrhea all over them and I eat the poopoo with my mouth. Ihate niggers and bend over pedophile midgets and molest them anally and forceuflly with maximum rapemaxxing winter arc aura force. Niggers love buyin cod points offa g2g. Its a trend! Hate niggers btw. Did I mention that? Fuck niggers!
00:12:38	Jacob Harley:	I love eating the poopoo. I eat the poopoo out of my pants after I diarrhea all over them and I eat the poopoo with my mouth. Ihate niggers and bend over pedophile midgets and molest them anally and forceuflly with maximum rapemaxxing winter arc aura force. Niggers love buyin cod points offa g2g. Its a trend! Hate niggers btw. Did I mention that? Fuck niggers!
00:12:38	Jacob Harley:	I love eating the poopoo. I eat the poopoo out of my pants after I diarrhea all over them and I eat the poopoo with my mouth. Ihate niggers and bend over pedophile midgets and molest them anally and forceuflly with maximum rapemaxxing winter arc aura force. Niggers love buyin cod points offa g2g. Its a trend! Hate niggers btw. Did I mention that? Fuck niggers!
00:12:39	Jacob Harley:	I love eating the poopoo. I eat the poopoo out of my pants after I diarrhea all over them and I eat the poopoo with my mouth. Ihate niggers and bend over pedophile midgets and molest them anally and forceuflly with maximum rapemaxxing winter arc aura force. Niggers love buyin cod points offa g2g. Its a trend! Hate niggers btw. Did I mention that? Fuck niggers!
00:12:39	Jacob Harley:	I love eating the poopoo. I eat the poopoo out of my pants after I diarrhea all over them and I eat the poopoo with my mouth. Ihate niggers and bend over pedophile midgets and molest them anally and forceuflly with maximum rapemaxxing winter arc aura force. Niggers love buyin cod points offa g2g. Its a trend! Hate niggers btw. Did I mention that? Fuck niggers!
00:12:39	Jacob Harley:	I love eating the poopoo. I eat the poopoo out of my pants after I diarrhea all over them and I eat the poopoo with my mouth. Ihate niggers and bend over pedophile midgets and molest them anally and forceuflly with maximum rapemaxxing winter arc aura force. Niggers love buyin cod points offa g2g. Its a trend! Hate niggers btw. Did I mention that? Fuck niggers!
00:12:40	Jacob Harley:	I love eating the poopoo. I eat the poopoo out of my pants after I diarrhea all over them and I eat the poopoo with my mouth. Ihate niggers and bend over pedophile midgets and molest them anally and forceuflly with maximum rapemaxxing winter arc aura force. Niggers love buyin cod points offa g2g. Its a trend! Hate niggers btw. Did I mention that? Fuck niggers!
00:12:40	Jacob Harley:	I love eating the poopoo. I eat the poopoo out of my pants after I diarrhea all over them and I eat the poopoo with my mouth. Ihate niggers and bend over pedophile midgets and molest them anally and forceuflly with maximum rapemaxxing winter arc aura force. Niggers love buyin cod points offa g2g. Its a trend! Hate niggers btw. Did I mention that? Fuck niggers!
00:12:40	Jacob Harley:	I love eating the poopoo. I eat the poopoo out of my pants after I diarrhea all over them and I eat the poopoo with my mouth. Ihate niggers and bend over pedophile midgets and molest them anally and forceuflly with maximum rapemaxxing winter arc aura force. Niggers love buyin cod points offa g2g. Its a trend! Hate niggers btw. Did I mention that? Fuck niggers!
00:12:40	Jacob Harley:	I love eating the poopoo. I eat the poopoo out of my pants after I diarrhea all over them and I eat the poopoo with my mouth. Ihate niggers and bend over pedophile midgets and molest them anally and forceuflly with maximum rapemaxxing winter arc aura force. Niggers love buyin cod points offa g2g. Its a trend! Hate niggers btw. Did I mention that? Fuck niggers!
00:12:40	Jacob Harley:	I love eating the poopoo. I eat the poopoo out of my pants after I diarrhea all over them and I eat the poopoo with my mouth. Ihate niggers and bend over pedophile midgets and molest them anally and forceuflly with maximum rapemaxxing winter arc aura force. Niggers love buyin cod points offa g2g. Its a trend! Hate niggers btw. Did I mention that? Fuck niggers!
00:12:40	Jacob Harley:	I love eating the poopoo. I eat the poopoo out of my pants after I diarrhea all over them and I eat the poopoo with my mouth. Ihate niggers and bend over pedophile midgets and molest them anally and forceuflly with maximum rapemaxxing winter arc aura force. Niggers love buyin cod points offa g2g. Its a trend! Hate niggers btw. Did I mention that? Fuck niggers!
